gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000284745.1	0	0	0	0	0	0	
ENSG00000169717.6	0	0	0	0	0	0	
ENSG00000177133.10	0	0	1	4	2	0	
ENSG00000142611.16	33	35	25	49	23	32	
ENSG00000283572.1	0	0	0	0	0	0	
ENSG00000226286.1	1	0	0	0	0	0	
ENSG00000279839.1	0	0	0	2	0	0	
ENSG00000272235.1	0	0	0	0	0	1	
ENSG00000130762.14	321	374	272	307	311	331	
ENSG00000272088.1	2	2	1	2	2	2	
ENSG00000162591.15	1444	1890	1902	1643	1841	1969	
ENSG00000207776.1	0	0	0	0	0	0	
ENSG00000238260.1	12	18	10	20	9	4	
ENSG00000158109.14	1630	1997	1688	1549	1829	1593	
ENSG00000116213.15	1005	1234	977	1162	1148	966	
ENSG00000078900.14	21	41	18	47	32	18	
ENSG00000227589.1	0	0	0	0	0	0	
ENSG00000235131.1	0	0	0	0	0	0	
ENSG00000227372.12	1530	1706	1264	1743	1613	1486	
ENSG00000276189.1	0	0	0	0	0	0	
ENSG00000162592.9	0	0	1	0	0	1	
ENSG00000235169.8	30	18	18	19	19	17	
ENSG00000130764.9	3309	3802	3196	3653	3732	3417	
ENSG00000266075.2	0	0	0	0	1	0	
ENSG00000272153.1	4	1	0	3	1	4	
ENSG00000116198.12	1688	1915	1770	1664	1879	1633	
ENSG00000169598.15	306	411	324	406	418	328	
ENSG00000198912.10	1611	1804	1581	1676	1843	1476	
ENSG00000236423.5	34	36	29	32	28	27	
ENSG00000233304.6	0	0	0	1	0	3	
ENSG00000226374.2	0	0	0	1	0	0	
ENSG00000284668.1	0	0	0	0	0	0	
ENSG00000284703.1	0	0	0	0	0	0	
ENSG00000229280.1	0	0	0	0	0	0	
ENSG00000235054.3	0	0	0	0	0	0	
ENSG00000284694.1	0	0	0	0	0	0	
ENSG00000227169.2	0	0	0	0	0	0	
ENSG00000232596.2	0	0	0	0	0	0	
ENSG00000196581.10	0	0	0	0	1	0	
ENSG00000284739.1	0	0	0	0	0	0	
ENSG00000284674.1	0	0	0	0	0	0	
ENSG00000231510.1	0	0	0	0	0	0	
ENSG00000284616.1	0	0	0	0	0	0	
ENSG00000284692.2	0	0	0	0	0	0	
ENSG00000284666.1	0	0	0	0	0	0	
ENSG00000260972.1	0	0	0	0	0	0	
ENSG00000283356.1	0	0	0	0	0	0	
ENSG00000236948.2	0	0	0	0	0	0	
ENSG00000264341.1	0	0	0	0	0	0	
ENSG00000264101.1	0	0	0	0	0	0	
ENSG00000131697.17	902	947	853	1006	961	801	
ENSG00000069424.14	1140	1251	1096	1087	1221	1075	
ENSG00000116254.17	122	150	156	178	166	160	
